422	154	2438
6850	24	1652
5308	124	10758
10469	186	718
9937	39	10015
997	136	13843
785	106	6679
2609	191	8799
5733	86	7023
9453	48	382
14460	83	9760
2388	154	2438
11341	48	32
9557	155	5161
12891	133	853
4511	124	4722
5649	48	32
2937	48	32
10258	39	540
7879	48	32
1334	24	2309
8590	24	6319
2236	48	1124
2563	24	12317
3178	48	853
1888	136	3696
6164	100	10040
957	48	32
4296	106	43
2419	224	6130
3587	100	160
10559	106	8016
4879	48	4474
1036	116	4639
4823	223	4624
4831	100	160
35	136	2235
4863	183	4725
10495	116	6627
10523	184	3902
3259	116	6960
3660	106	1327
2995	24	6403
1484	106	1080
650	48	32
5969	48	32
5979	86	1938
3485	62	420
3030	159	13188
11090	48	32
6913	48	382
3224	203	6322
6336	116	6385
10522	24	8187
6261	24	2635
167	124	2956
2215	48	32
7200	74	9082
4656	48	32
9215	136	12507
13699	181	800
10920	51	160
2968	203	4358
9530	48	32
1459	138	1086
1212	24	6489
14390	154	2620
3959	182	2517
942	100	160
9171	191	9801
1225	24	1327
4561	24	9055
2422	48	32
3681	106	592
9184	48	1928
7912	84	10147
3365	51	160
4128	48	32
13072	236	478
3676	48	32
14424	154	2438
10476	124	2846
7973	39	4621
9365	24	11980
8170	154	1437
3892	116	25
4069	105	1305
10835	48	181
10268	185	32
7719	193	1934
2672	100	160
4828	39	10813
3031	48	1124
3031	24	249
1386	182	2192
4940	109	11489
6412	48	32
203	48	32
4388	100	160
8864	86	482
1312	136	3795
865	136	34
6652	106	12101
10015	133	32
2394	62	420
7813	162	9561
13008	143	9277
3509	160	8490
412	48	32
1903	138	7945
13897	62	787
9190	48	32
7841	24	10957
7979	154	1437
1201	155	350
6720	24	2607
2262	82	1771
3806	221	160
11368	48	1124
1195	86	690
2145	48	1124
4771	48	382
4303	39	150
2835	86	3655
816	154	2620
5972	48	1928
11917	48	1928
3120	154	2438
5810	224	1327
3868	24	10327
12608	39	1458
7714	100	11058
8165	106	592
1741	83	592
2569	48	32
13205	24	1183
5849	106	352
1484	106	890
5261	191	10864
12455	154	2438
11039	48	382
4835	186	5695
4744	155	10156
101	106	249
1221	48	1124
3876	48	32
8245	48	32
6280	48	32
11959	83	2780
2327	24	4464
4549	199	6615
2793	82	6851
1405	221	5397
8667	154	5054
7140	154	2438
11084	127	4331
9958	124	4722
11586	39	10705
769	82	44
7397	105	11813
7793	116	11179
500	183	7147
4931	24	592
9675	48	32
2264	183	6969
11028	24	13409
9659	191	6279
6498	84	4391
2711	136	8222
11334	24	6088
6652	74	524
7148	136	1511
5464	221	7378
11563	154	1437
6932	48	1744
252	106	1327
10905	143	3373
3697	24	1327
5623	48	274
5792	24	352
6766	48	32
2552	48	32
6289	154	2438
3041	48	32
7046	83	1457
9848	84	1099
821	154	2438
9016	100	585
4699	203	8708
10571	48	1124
4086	82	6851
7213	86	4316
979	39	43
1315	84	7695
10966	143	226
5373	48	32
9242	86	3655
251	48	32
11089	74	1769
11442	100	12734
5837	24	4464
7548	24	592
2686	138	10388
13337	154	2438
9040	138	1826
5192	155	10988
2362	82	44
1988	116	6385
11428	124	4722
6960	48	32
12398	100	1672
1806	154	2438
2744	86	7023
7691	138	9717
4693	24	14118
11210	83	592
9326	24	4068
12830	48	32
10386	185	32
5295	39	7132
12913	154	2620
3229	83	9760
5536	106	592
4187	116	9664
1603	106	4764
10268	51	160
7455	106	1448
2854	82	7020
4093	82	1771
1680	24	954
2212	136	3480
2212	155	808
10865	106	1183
5522	48	382
13557	154	2620
6507	124	11653
6624	124	2956
7849	136	3795
9942	48	1124
4813	83	14222
1239	48	32
6618	154	1437
2921	48	32
7251	82	363
6938	199	10633
12454	124	2846
4577	106	5778
4427	136	3795
794	154	1437
10228	48	32
2699	116	5673
9295	48	32
8897	39	13931
2668	48	32
6232	84	5506
1468	48	6123
7479	39	7089
1340	62	420
3991	143	1044
11790	82	1771
1593	48	32
9872	39	120
7878	48	32
4140	187	2349
8437	162	9807
2037	48	32
11199	51	160
10979	48	382
5474	48	274
5165	224	4152
1106	48	1124
7279	39	705
12195	24	5866
2737	154	1874
4075	124	2846
12445	124	2846
9427	48	32
3557	124	873
9939	48	1928
3754	24	9109
5075	82	9081
12062	100	160
7631	124	2846
12246	24	14079
3471	48	32
1382	24	9568
4342	187	2349
10271	39	1327
4902	154	2706
12835	162	6604
10172	136	8222
4773	116	3541
11323	82	6851
12528	48	32
4993	82	795
2502	191	10864
5332	24	2033
12333	48	1928
5819	116	431
6089	111	11684
10681	48	32
5482	39	540
10735	48	382
4682	154	1437
3476	160	1327
592	154	2438
13213	24	7132
6084	84	3309
1774	136	168
7623	185	32
7423	48	637
6545	48	32
10362	159	6871
5016	48	32
7936	116	8889
785	191	3567
3161	124	2846
1165	154	2620
12797	83	1445
10050	124	873
11860	111	7683
72	82	7142
9890	48	1928
13236	24	11927
3824	109	3269
6732	116	5221
11754	224	6079
11609	83	6079
3687	82	8332
12300	154	2438
13205	202	10978
6971	48	9047
3626	202	7216
2459	48	32
11022	39	540
1785	186	11031
3320	48	382
11468	39	105
3896	48	158
7453	82	1771
12483	116	6691
14322	154	10452
7009	100	160
1190	24	4358
1552	62	420
12150	154	2438
4118	48	32
6515	48	32
14243	83	13246
4526	48	32
7194	159	10806
10878	24	9946
9156	24	954
12427	48	32
9201	48	32
4956	106	249
2710	203	4152
8892	24	8470
5002	116	1995
5002	184	8438
2478	105	5338
12801	48	32
511	183	6838
10072	124	4722
3138	109	3743
12558	48	32
7118	48	32
10805	24	9581
5857	116	3873
10045	236	4224
9483	48	32
9210	154	5054
9497	48	1124
2339	48	382
13462	154	2438
7498	82	8686
6042	48	32
4094	106	12455
1461	235	2385
3441	100	160
11744	154	2438
5252	154	1437
4577	106	1327
1361	62	420
13938	182	13938
10971	181	1002
6875	48	181
6968	116	6385
11838	24	3160
870	48	382
5519	48	119
9637	82	13692
11715	109	4209
9314	100	160
291	136	2974
4717	154	2438
535	48	32
12485	48	853
6256	82	6851
4382	116	5235
9519	186	3949
8244	124	5655
9125	48	382
538	224	3885
621	39	150
4326	48	1124
4252	82	1771
3894	183	10421
5211	39	10717
4744	106	3825
3093	136	3795
2524	100	160
7200	116	8783
6792	86	1630
10335	185	32
6668	83	11647
4679	48	1124
6159	62	420
3113	24	12178
3652	159	12796
9202	82	7142
9493	39	592
10326	39	6680
6865	86	7059
9195	199	3119
12266	224	4068
11144	83	2879
143	83	2879
13053	48	158
1942	109	3423
9435	100	5334
12028	82	8686
7286	51	160
13474	154	2620
4292	48	1124
10525	143	1551
2571	24	592
9659	203	6279
6558	48	1124
3585	84	7044
10316	193	202
13662	202	3428
2594	48	119
9140	106	1327
8398	86	3080
10891	116	5446
10370	48	32
13323	181	7010
7597	84	4391
13418	48	382
5682	24	1044
1375	160	3514
2872	48	32
12999	185	382
24	86	7059
6929	48	1124
8364	24	13305
12051	48	32
9465	48	158
8806	48	1124
5912	100	1672
7066	24	934
12400	48	32
11702	100	29
1707	86	10402
9910	147	382
35	116	9127
1684	24	592
13122	154	2438
9854	48	181
1521	136	689
1706	48	1080
1298	193	181
3582	109	11645
8627	48	32
9686	143	2792
4380	48	274
1131	221	160
5236	109	50
1568	100	160
11418	105	8805
1395	82	1771
1359	100	160
9866	48	32
1917	159	928
4805	143	226
3402	24	9694
5667	48	32
10331	84	1114
7390	224	4712
256	100	2272
5800	106	5191
2189	224	8373
2555	193	637
12826	124	2956
9009	154	2438
5765	48	32
678	155	3423
11997	48	32
2480	116	12526
5263	48	32
4914	221	29
4346	136	85
11318	48	1124
12437	86	7023
7718	100	7817
8710	236	32
7848	48	1934
8755	100	160
5703	100	160
4786	48	32
639	155	11130
10264	24	13810
1128	48	32
8093	48	32
61	48	32
175	185	32
115	24	1327
10416	143	3554
557	48	32
8607	100	160
905	147	382
5805	136	3795
9177	62	420
8650	143	95
10090	83	13245
1678	100	160
6691	48	32
9576	116	3755
4245	116	10751
2549	24	8761
10963	154	2438
2618	24	5496
2503	154	2438
10309	187	2349
10096	154	2438
1607	116	527
4719	186	11031
4352	136	6814
7384	106	4525
3472	48	32
1643	155	3423
4041	82	2456
3344	106	249
4852	154	1437
3215	48	1124
3017	48	382
