1062
702	16	570
3862	16	570
3229	11	217
3794	11	341
3496	2	260
3203	2	261
2707	16	518
3420	2	260
3328	11	260
860	16	572
1929	11	227
2588	16	559
766	3	681
4308	10	594
2226	16	507
3227	16	543
1760	11	108
1405	16	572
1880	11	338
905	11	232
3007	11	142
730	2	236
3872	11	236
127	0	611
389	10	594
1456	11	236
1602	16	572
1108	16	509
1991	11	86
1649	16	572
2694	3	681
709	2	261
991	11	223
3230	11	259
3773	16	572
1589	16	546
1508	11	141
360	0	61
2178	16	485
416	10	611
4164	11	245
3870	11	236
1767	16	488
3553	11	246
3860	11	173
2036	16	555
357	0	594
2550	16	543
1973	11	227
3083	11	261
4241	11	215
4181	11	221
4135	11	245
1114	11	236
877	2	256
2035	16	572
2381	11	261
3289	16	572
3031	11	142
1140	16	571
2190	16	509
576	10	49
2833	3	683
2995	16	572
3711	16	570
1969	2	227
815	16	572
3085	16	555
1844	11	232
3077	16	540
2552	16	506
1766	2	232
3969	16	570
794	16	571
1804	16	572
1445	16	571
3566	11	261
3548	16	572
2677	3	684
1546	16	570
950	16	572
3192	11	217
283	0	30
110	0	49
1273	16	570
3977	16	572
1577	11	173
3738	16	572
1083	11	240
3578	11	232
2638	16	546
842	11	302
2951	16	572
1833	11	338
812	2	236
3621	3	681
3352	16	572
2028	16	555
3634	16	570
2774	16	508
2139	16	513
874	11	236
891	16	572
2219	2	156
784	11	251
1139	2	176
3068	11	239
981	16	546
1544	16	572
2380	16	542
978	3	683
3020	16	572
2313	3	674
3726	16	572
1110	16	555
4070	11	234
866	2	232
1608	11	234
2625	16	546
2230	11	347
1992	16	572
3146	16	555
1373	16	540
1989	11	236
1155	16	571
1753	11	254
836	16	572
2026	11	144
1988	16	570
951	16	572
3591	2	247
844	16	572
901	2	245
3053	11	145
1420	11	223
3153	2	262
3430	2	85
1386	16	571
3046	2	178
414	10	594
4169	11	215
959	11	176
168	0	438
455	10	49
839	11	236
3570	11	129
3177	11	217
31	10	438
1975	2	181
407	10	438
1909	2	245
3495	16	570
2642	16	537
1359	16	571
1978	11	254
3931	16	572
931	16	570
1641	11	258
1459	2	245
4056	11	167
2516	3	683
2617	16	542
625	10	472
4121	2	282
963	16	572
2602	16	543
3500	11	261
1588	11	232
2965	11	211
3888	16	572
4138	11	215
3106	11	177
1576	11	218
645	10	390
718	16	572
1368	16	534
2030	16	572
3396	2	129
2496	16	543
2256	16	542
1949	16	570
1361	16	492
220	0	30
1344	16	572
2677	16	537
1859	11	338
3763	11	341
3433	11	260
3734	16	570
2186	11	224
3613	11	242
3545	16	572
1082	16	572
898	11	236
4197	16	570
1460	16	571
4224	2	177
3822	16	572
907	16	572
3371	16	570
3996	16	572
3512	16	570
3292	16	571
2338	16	485
2297	3	683
1478	11	251
1090	16	509
1596	16	522
1744	11	129
1736	16	537
3260	11	260
3990	11	176
1159	16	572
877	16	572
3447	11	261
1137	16	571
1532	16	570
3229	2	237
191	0	472
2820	16	555
2948	16	570
3980	11	176
1881	11	338
1481	11	271
181	0	390
2980	16	572
1947	2	239
3513	16	570
4151	16	572
2593	16	543
1294	16	572
1870	2	341
1996	11	227
